Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
CUE,Cue Biopharma Inc,<0.01%,Biotechnology,US,---,"$1,097,456.34 ","1,527,002"
LTRN,Lantern Pharma Inc,<0.01%,Biotechnology,US,---,"$1,090,262.25 ","250,635"
TPST,Tempest Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,078,824.32 ","104,944"
MRSN,Mersana Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,054,320.16 ","135,866"
USIO,Usio Inc,<0.01%,Transaction & Payment Processing Services,US,---,"$1,052,370.52 ","741,106"
LVO,LiveOne Inc,<0.01%,Movies & Entertainment,US,---,"$1,045,513.63 ","253,151"
BZFD,BuzzFeed Inc,<0.01%,Interactive Media & Services,US,---,"$1,037,256.70 ","610,151"
SPRU,Spruce Power Holding Corp,<0.01%,Renewable Electricity,US,---,"$1,036,862.05 ","423,209"
LNZA,LanzaTech Global Inc,<0.01%,Environmental & Facilities Services,US,---,"$1,035,106.32 ","42,232"
ANVS,Annovis Bio Inc,<0.01%,Biotechnology,US,---,"$1,034,391.42 ","499,706"
WHWK,Whitehawk Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,032,414.40 ","543,376"
GROV,Grove Collaborative Holdings,<0.01%,Other Specialty Retail,US,---,"$1,024,791.00 ","683,194"
IMMX,Immix Biopharma Inc,<0.01%,Biotechnology,US,---,"$1,021,196.99 ","488,611"
RFL,Rafael Holdings Inc,<0.01%,Pharmaceuticals,US,---,"$1,016,904.64 ","747,724"
SCOR,comScore Inc,<0.01%,Advertising,US,---,"$1,016,556.12 ","116,444"
TUSK,Mammoth Energy Services Inc,<0.01%,Oil & Gas Equipment & Services,US,---,"$1,016,505.81 ","443,889"
GROW,US Global Investors Inc,<0.01%,Asset Management & Custody Banks,US,---,"$1,015,569.50 ","369,298"
PRLD,Prelude Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,015,225.92 ","705,018"
ZYXI,Zynex Inc,<0.01%,Health Care Equipment,US,---,"$1,010,302.00 ","696,760"
PDSB,PDS Biotechnology Corp,<0.01%,Biotechnology,US,---,"$1,005,375.21 ","995,421"
OTLK,Outlook Therapeutics Inc,<0.01%,Biotechnology,US,---,"$999,373.30 ","942,805"
LESL,Leslie's Inc,<0.01%,Other Specialty Retail,US,---,"$995,032.50 ","180,915"
INMB,Inmune Bio Inc,<0.01%,Biotechnology,US,---,"$991,621.08 ","479,044"
AHT,Ashford Hospitality Trust Inc,<0.01%,Hotel & Resort REITs,US,---,"$988,798.70 ","167,593"
NOTE,FiscalNote Holdings Inc,<0.01%,Research & Consulting Services,US,---,"$985,730.06 ","212,900.66"
PBBK,PB Bankshares Inc,<0.01%,Regional Banks,US,---,"$984,532.68 ","51,118"
AP,Ampco-Pittsburgh Corp,<0.01%,Steel,US,---,"$979,220.03 ","427,607"
CARL,Carlsmed Inc,<0.01%,Health Care Equipment,US,---,"$978,835.78 ","73,102"
ALGS,Aligos Therapeutics Inc,<0.01%,Biotechnology,US,---,"$977,324.60 ","99,727"
BEAT,HeartBeam inc,<0.01%,Health Care Equipment,US,---,"$976,272.00 ","591,680"
OPHC,OptimumBank Holdings Inc,<0.01%,Regional Banks,US,---,"$975,267.00 ","237,870"
FTHM,Fathom Holdings Inc,<0.01%,Real Estate Services,US,---,"$973,897.20 ","541,054"
XTNT,Xtant Medical Holdings Inc,<0.01%,Health Care Supplies,US,---,"$972,873.71 ","1,499,266"
XFOR,X4 Pharmaceuticals Inc,<0.01%,Biotechnology,US,---,"$969,197.22 ","283,391"
BGFV,Big 5 Sporting Goods Corp,<0.01%,Other Specialty Retail,US,---,"$968,495.04 ","672,566"
AIFF,Firefly Neuroscience Inc,<0.01%,Health Care Technology,US,---,"$955,644.00 ","328,400"
